책이름,저자,가격,책커버이미지
주술회전 24 (초판한정 후시구로 메구미 일러스트 카드 + 선착순 한정 이타도리’&‘고죠 빅 스티커 포함 특장판),"아쿠타미 게게 지음, 이정운 옮김 | 서울미디어코믹스(서울문화사)","5,400",https://image.aladin.co.kr/product/33006/22/cover/k792937873_1.jpg
주술회전 24 + 2024 캘린더 세트 (한정판),"아쿠타미 게게 지음, 이정운 옮김 | 서울미디어코믹스(서울문화사)","24,300",https://image.aladin.co.kr/product/33006/20/cover/k682937873_1.jpg
블루 아카이브 흥신소 68 업무일지 1,"Nogiwa Kaede 지음, 심이슬 옮김, 블루 아카이브 원작 | 서울미디어코믹스(서울문화사)","8,100",https://image.aladin.co.kr/product/33002/82/cover/k412937775_1.jpg
위험한 편의점 시즌3 스페셜 패키지 - 전2권 (완결),945 지음 | blackD(블랙디),"48,600",https://image.aladin.co.kr/img/19book_200cover.jpg
지박소년 하나코 군 20 (한정판),"아이다이로 지음, 장혜영 옮김 | 서울미디어코믹스(서울문화사)","14,400",https://image.aladin.co.kr/product/32970/34/cover/k022936356_1.jpg
극락가 1,사노 유토 지음 | 대원씨아이(만화),"5,400",https://image.aladin.co.kr/product/32927/50/cover/k192936841_1.jpg
나의 히어로 아카데미아 39 (한정판),호리코시 코헤이 지음 | 서울미디어코믹스(서울문화사),"5,400",https://image.aladin.co.kr/product/32964/36/cover/k852936251_1.jpg
스파이 패밀리 12,엔도 타츠야 지음 | 학산문화사(만화),"5,400",https://image.aladin.co.kr/product/32922/16/cover/k212936933_1.jpg
